step,phase,fr,max_fr,avg_threshold,avg_weight_pattern,avg_weight_noise
35400,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
35500,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
35600,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
35700,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
35800,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
35900,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
36000,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
36100,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
36200,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
36300,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
36400,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
36500,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
36600,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
36700,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
36800,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
36900,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
37000,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
37100,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
37200,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
37300,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
37400,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
37500,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
37600,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
37700,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
37800,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
37900,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
38000,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
38100,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
38200,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
38300,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
38400,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
38500,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
38600,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
38700,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
38800,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
38900,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
39000,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
39100,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
39200,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
39300,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
39400,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
39500,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
39600,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
39700,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
39800,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
39900,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
40000,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
40100,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
40200,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
40300,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
40400,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
40500,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
